n_pat, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_trt, median_ctrl
300, 225, 150, 150, 0.000632577851298148, 0, 1, 1095.75, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0, 1, 1095.75, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0, 1, 1095.75, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0, 1, 1095.75, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0, 1, 365.25, 365.25
500, 375, 250, 250, 0.00189773355389444, 0, 1, 365.25, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0, 1, 365.25, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0, 1, 365.25, 365.25
300, 225, 150, 150, 0.00379546710778889, 0, 1, 182.625, 182.625
500, 375, 250, 250, 0.00379546710778889, 0, 1, 182.625, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0, 1, 182.625, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0, 1, 182.625, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.5, 0.77002789980949, 1423.00038774062, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.5, 0.816748381693065, 1341.6004543879, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.5, 0.866636604378929, 1264.37078062871, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.5, 0.889701138509371, 1231.59334362081, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.5, 0.77002789980949, 474.333462580207, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.5, 0.816748381693065, 447.200151462634, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.5, 0.866636604378929, 421.456926876236, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.5, 0.889701138509371, 410.531114540271, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.5, 0.77002789980949, 237.166731290103, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.5, 0.816748381693065, 223.600075731317, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.5, 0.866636604378929, 210.728463438118, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.5, 0.889701138509371, 205.265557270136, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.8, 0.688290221962246, 1591.98832852242, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.8, 0.748752734749188, 1463.43372003449, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.8, 0.81497417276867, 1344.52113528637, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.8, 0.84615369232105, 1294.97750815729, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.8, 0.688290221962246, 530.662776174139, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.8, 0.748752734749188, 487.811240011495, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.8, 0.81497417276867, 448.173711762122, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.8, 0.84615369232105, 431.659169385762, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.8, 0.688290221962246, 265.33138808707, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.8, 0.748752734749188, 243.905620005748, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.8, 0.81497417276867, 224.086855881061, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.8, 0.84615369232105, 215.829584692881, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.9, 0.649078202028939, 1688.16330077766, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.9, 0.715493842099808, 1531.45972128038, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.9, 0.789206850177077, 1388.41927151816, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.9, 0.824245675853505, 1329.39732909773, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.9, 0.649078202028939, 562.721100259219, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.9, 0.715493842099808, 510.486573760127, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.9, 0.789206850177077, 462.806423839387, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.9, 0.824245675853505, 443.132443032576, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.9, 0.649078202028939, 281.36055012961, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.9, 0.715493842099808, 255.243286880063, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.9, 0.789206850177077, 231.403211919694, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.9, 0.824245675853505, 221.566221516288, 182.625
